Howl's Moving Castle,Tinh cam,Hayao,Howl,Sophie,2004,Ghibli,2:Best Animated Feature,Best Animated Film
Khi Nang Tho Yeu,Tinh cam,Kotaro,Tsuneo,Josee,2020,Bones,0
Edgerunners,Tinh cam,Hiroyuki,David,Lucy,2022,Bartosz Sztybor,0
Tinh Ca Mua Ha,Tinh cam,Khanh Quy,Chi Khuong,Ngoc Tram,2003,Phuong Nam,1:Bong Sen Vang
Em Va Trinh,Tinh cam,Phan Linh,Avin Lu,Hoang Ha,2022,Galaxy Play,0
Titanic,Tinh cam,James Horner,DiCaprio,Kate,1997,20th Century Fox,1:Oscar
Bi Mat Tam Giac Vang,Hinh su,Nguyen Duong,Manh Truong,Nhung Kate,2013,DTHVN,0
Hai Phuong,Hinh su,Van Kiet,Khanh Quy,Thanh Van,2019,Studio 68,2:Bong Sen Bac,Canh Dieu Bac
Nguoi Phan Xu,Hinh su,Khai Anh,Hoang Dung,Thanh Huong,2017,TTPTHVN,2:Phim Truyen Hinh An Tuong,Phim Truyen Hinh Cua Nam
Teo Em,Hai,Charlie Nguyen,Thai Hoa,Ninh Ngoc,2013,Chanh Phuong,1:Canh Dieu Bac
Em Chua 18,Hai,Thanh Son,Kaity Nguyen,Minh Tuan,2017,Chanh Phuong,0
De Mai Tinh,Hai,Charlie Nguyen,Dustin Nguyen,Kathy Uyen,2010,Wonderboy,0
Bo Gia,Hai,Tran Thanh,Tran Thanh,Le Giang,2021,Tran Thanh Town,3:Canh Dieu Vang,Bong Sen Bac,Phim Dien Anh Hay Nhat
Bang Chung Thep,Hinh su,Chi Giang,Dieu Tuong,Kha Di,2011,TVB,0
Ke San Nguoi,Hinh su,Joon Bae,Seung Gi,Soo Jin,2021,Studio Invictus,0
Hoa Cua Quy,Hinh su,Cheol Kyu,Joon Gi,Chae Won,2020,Studio Dragon,0
Wait Until Dark,Hinh su,Terence Young,Arkin,Hepburn,1967,Seven Arts,1:Laurel Awards
Me Cung,Hinh su,Khai Anh,Viet Anh,Thuy Linh,2019,TTPTHVN,1:Canh Dieu Vang
Meloholic,Tinh cam,Hyeon Wook,Yun Ho,Soo Jin,2017,KBS Media,0
House Of Bluebirds,Tinh cam,Byeong Hyeon,Joon Hyeok,Soo Bin,2015,Picture Media,0
Mat Biec,Tinh cam,Victor Vu,Tran Nghia,Truc Anh,2019,Galaxy Media Entertainment,1:Bong Sen Vang
The Notebook,Tinh cam,Cassavetes,Gosling,McAdams,2004,Gran Via,1:Dien Anh MTV
Ong Ngoai Tuoi Ba Muoi,Hai,Hyeong Cheol,Tae Hyun,Bo Young,2008,Netflix Studios,1:Kich Ban Xuat Sac Nhat
Loi Thoat Tren Khong,Hai,Geun Lee,Jung Suk,Yoon Ah,2019,Filmmaker RK,2:Rong Xanh,Far East
La La Land,Hai,Chazelle,Gosling,Stone,2016,Gilbert Films,1:Oscar
The Artist,Hai,Hazanavicius,Dujardin,Bejo,2012,France Cinema,3:Oscar,Cesar,BAFTA
Cua Lai Vo Bau,Hai,Nhat Trung,Tran Thanh,Lan Ngoc,2019,NHV Entertainment,1:Mai Vang
Chia Khoa Tram Ty,Hai,Thanh Hoa,Anh Tu,Jun Vu,2022,CV Entertainment,1:Mai Vang
30 Chua Phai La Tet,Hai,Quang Huy,Truong Giang,Oanh Kieu,2020,CGV,0
Benh Vien Ma,Hai,Thanh Hoa,Tran Thanh,Hari Won,2016,NHV Entertainment,2:Bong Sen Vang,Ngoi Sao Xanh
